MYSQL = PostgreSQL = ANSI SQL(Standard SQL),MYSQL,Link of Questions
 join two column ,"CONCAT(firstcolumn,secondcolumn)",Fix Names in a Table(Leetcode 1667)
change letter uppercase alphabet,UPPER(columnname),Fix Names in a Table(Leetcode 1667)
 fetch particular number of character in a column value,"SUBSTRING(columnname,start,no.ofcharacter)",Fix Names in a Table(Leetcode 1667)
to find particular character position in a column value,"INSTR(columnname,'that character')",easysql.txt-(s)
 to replace a character with another character in a column value,"REPLACE(columnname,'a character','another character')",easysql.txt-(z-1)
when you want to fetch only those column value which start with particular character,LIKE  thatcharacter% ,easysql.txt-(y)
when you want to fetch only those column value which end with particular character,LIKE   %thatcharacter,easysql.txt-(y)
when you want to fetch only those column value which not start with particular character,NOT LIKE  thatcharacter% ,easysql.txt-(z)
when you want to fetch only those column value which not end with particular character,NOT LIKE  %thatcharacter,easysql.txt-(z)
when you need length of a column value,LENGTH(columnname),Invalid tweet(Leetcode 1683)
when you need to find even/odd and check remainder,columnname%2=0 || columnname%2 !=0,Find Customer Refree(Leetcode 584)
when you need all unique value in a particular column,DISTINCT + GROUP BY,Percentage of User Attended a Contest(Leetcode 1633)
when you need a value in particular range,BETWEEN A AND B SAME WORK AS (>=A AND <=B),easysql.txt-(h)
when you round to a nearest integer,"ROUND(AVG(salary),2)",Project Employees 1(Leetcode 1075)
when you round up,CEIL(4.1),easysql.txt-(z-1)
when you have to remove value after decimal,TRUNCATE(4.9),easysql.txt-(z-2)
when you have to find null values,IS NULL,easysql.txt-(f)
when you have to find  values that is not null,IS NOT NULL,easysql.txt-(p)
when you find a column value  from a list of values,"IN ('IT','HR','Finance')",Investments in 2016(Leetcode 585)
when you find a column value not  from a list of values,"NOT IN ('IT','HR','Finance')",
comparison ,single(=),easysql.txt-(v)
when you round down,Floor(),easysql.txt-(g)
,COALESCE()/IFNULL(),Average Selling Price (Leetcode 1251)/Product Price at Given Date (Leetcode 1164)
,UNION/UNIONALL,Primary Department for Each Employee (Leetcode 1789)/Movie Rating (Leetcode 1341)/Friend Request (Leetcode 602)/Count Salary Categories(Leetcode 1907)
,NOW(),easysql.txt-(z-4)
,CURDATE()/CURTIME(),easysql.txt-(z-3)
,DATE_ADD() with INTERVAL,easysql.txt-(z-5)
,DATE_SUB() with INTERVAL,easysql.txt-(z-6)
,DATEDIFF(),Rising Temperature (Leetcode 197)
,TIMESTAMPDIFF(),easysql.txt-(z-7)
,DATE_FORMAT() + CASE STATEMENT,Monthly Transaction 1 (Leetcode 1193)
,INNER JOIN,Product Sales Analysis 1(Leetcode 1068)
,LEFT JOIN,Customer who visited but did not make any transaction(Leetcode 1581)
,SELF JOIN with LEFT JOIN,
,SELF JOIN with INNER JOIN,Average Time of Process per Machine (Leetcode 1661)
,CROSS JOIN,Students and Examinations (Leetcode 1280)
,ROW_NUMBER(),Delete Duplicate Email (Leetcode 196)
,RANK(),
,DENSE_RANK(),"Department Top 3 salaries(Leetcode 185),Second Highest Salary(Leetcode 176)"
,LEAD(),
,LAG(),Consecutive Numbers (Leetcode 180)
,SUM() OVER(),Last Person to Fit in the Bus(Leetcode 1204)
,GROUP_CONCAT,Groups sold product by dates(Leetcode 1484)
,Subquery,Second Highest Salary(Leetcode 176)
,LIMIT and OFFSET,Second Highest Salary(Leetcode 176)
